time,major,category,num_asleep,year,count
2/17/20 1:00,Undecided,NULL,1,2023,1
2/17/20 1:00,Music,CAS,1,2020,1
2/17/20 1:00,PPE,CAS,1,2020,1
2/17/20 1:00,Finance,Wharton,1,2020,2
2/17/20 1:00,Business Analytics,Wharton,1,2021,2
2/17/20 1:00,Economics,CAS,1,2021,1
2/17/20 1:00,Nursing,NURS,1,2022,1
2/17/20 1:00,Misc,N/A,2,2023,4
2/17/20 1:00,CBE,ENG,1,2023,2
2/17/20 1:00,Systems Engineering,NULL,1,2023,2
2/17/20 1:00,GSWS,CAS,1,2020,1
2/17/20 1:15,BBB,CAS,2.0,2023,2
2/17/20 1:15,Nutrition,CAS,1.0,2022,1
2/17/20 1:15,Computer Science,ENG,2.25,2023,4
2/17/20 1:15,Business Analytics,Wharton,1.25,2022,2
2/17/20 1:15,CBE,ENG,1.0,2021,2
2/17/20 1:15,Philosophy,CAS,1.0,2021,1
2/17/20 1:15,DMD,ENG,4.5,2021,7
2/17/20 1:15,Cognitive Science,NULL,1.0,2023,1
2/17/20 1:15,CBE,ENG,1.0,2022,2
2/17/20 1:15,Political Science,CAS,1.0,2021,2
2/17/20 1:15,OIDD,Wharton,2.0,2020,2
2/17/20 1:15,BBB,CAS,3.25,2022,6
2/17/20 1:15,Chemistry,CAS,1.0,2023,1
2/17/20 1:15,Computer Science,ENG,6.75,2022,21
2/17/20 1:15,International Studies and Business,NULL,1.0,2023,1
2/17/20 1:15,Statistics,Wharton,3.0,2021,3
2/17/20 1:15,Economics,CAS,1.25,2023,2
2/17/20 1:15,Nursing,NURS,1.0,2020,1
2/17/20 1:15,Mathematical Economics,CAS,1.0,2021,1
2/17/20 1:15,Finance,Wharton,2.25,2022,7
2/17/20 1:15,SSE,NULL,1.0,2020,1
2/17/20 1:15,Neuroscience,NULL,1.0,2022,1
2/17/20 1:15,BBB,CAS,2.0,2021,2
2/17/20 1:15,Misc,N/A,1.0,2021,1
