time,major,category,num_asleep
2/17/20 5:00,Mechanical Engineering,NULL,1
2/17/20 5:00,Fine Arts,NULL,1
2/17/20 5:00,Marketing,NULL,2
2/17/20 5:00,Econ,NULL,1
2/17/20 5:00,jess ling,NULL,1
2/17/20 5:00,Computer Science,STEM,32
2/17/20 5:00,SSE 2020,NULL,1
2/17/20 5:00,History,NULL,1
2/17/20 5:00,International Studies and Business,NULL,1
2/17/20 5:00,Katie Busch,NULL,1
2/17/20 5:00,biology,NULL,1
2/17/20 5:00,PPE & GSWS,NULL,1
2/17/20 5:00,Brendan Yoo,NULL,1
2/17/20 5:00,BBB,NULL,7
2/17/20 5:00,Finance and Computer Science,NULL,1
2/17/20 5:00,Business Analytics,NULL,5
2/17/20 5:00,Communications,NULL,1
2/17/20 5:00,Cognitive Science,NULL,2
2/17/20 5:00,English,NULL,2
2/17/20 5:00,Bioengineering,NULL,3
2/17/20 5:00,Chemistry,NULL,1
2/17/20 5:00,Chemical and Bioengineering,NULL,1
2/17/20 5:00,Nursing,NULL,2
2/17/20 5:00,Finance 2021,NULL,1
2/17/20 5:00,PPE,NULL,3
2/17/20 5:00,DMD 2021,NULL,1
2/17/20 5:00,Wharton 20222,NULL,1
2/17/20 5:00,Misc,NULL,5
2/17/20 5:00,Urban Studies,NULL,1
2/17/20 5:00,Misc.1,NULL,1
2/17/20 5:00,2022,NULL,1
2/17/20 5:00,OIDD,NULL,2
2/17/20 5:00,Philosophy,NULL,1
2/17/20 5:00,Nursing 2021,NULL,1
2/17/20 6:00,Systems Engineering,NULL,2
2/17/20 6:00,Statisticsistics,NULL,1
2/17/20 6:00,Statistics,NULL,5
2/17/20 6:00,DMD,NULL,7
2/17/20 6:00,ECON,NULL,1
2/17/20 6:00,Mathematical Economics,NULL,1
2/17/20 6:00,Political Science,HUM,5
2/17/20 6:00,Commications,NULL,1
2/17/20 6:00,Math,NULL,1
2/17/20 6:00,Nutrition,NULL,2
2/17/20 6:00,Biology,NULL,3
2/17/20 6:00,Finance,NULL,7
2/17/20 6:00,Mechanical Engineering,NULL,1
2/17/20 6:00,Fine Arts,NULL,1
2/17/20 6:00,Marketing,NULL,2
2/17/20 6:00,Econ,NULL,1
2/17/20 6:00,jess ling,NULL,1
2/17/20 6:00,Computer Science,STEM,32
2/17/20 6:00,SSE 2020,NULL,1
2/17/20 6:00,History,NULL,1
2/17/20 6:00,International Studies and Business,NULL,1
2/17/20 6:00,Katie Busch,NULL,1
2/17/20 6:00,biology,NULL,1
2/17/20 6:00,PPE & GSWS,NULL,1
2/17/20 6:00,Brendan Yoo,NULL,1
2/17/20 6:00,BBB,NULL,7
2/17/20 6:00,Finance and Computer Science,NULL,1
2/17/20 6:00,Business Analytics,NULL,5
2/17/20 6:00,Communications,NULL,1
2/17/20 6:00,Cognitive Science,NULL,2
2/17/20 6:00,English,NULL,2
2/17/20 6:00,Bioengineering,NULL,3
2/17/20 6:00,Chemistry,NULL,1
2/17/20 6:00,Chemical and Bioengineering,NULL,1
2/17/20 6:00,Nursing,NULL,2
2/17/20 6:00,Finance 2021,NULL,1
2/17/20 6:00,PPE,NULL,3
2/17/20 6:00,DMD 2021,NULL,1
2/17/20 6:00,Wharton 20222,NULL,1
2/17/20 6:00,Misc,NULL,5
2/17/20 6:00,Urban Studies,NULL,1
2/17/20 6:00,Misc.1,NULL,1
2/17/20 6:00,2022,NULL,1
2/17/20 6:00,OIDD,NULL,2
2/17/20 6:00,Philosophy,NULL,1
2/17/20 7:00,Systems Engineering,NULL,2
2/17/20 7:00,Statisticsistics,NULL,1
2/17/20 7:00,Statistics,NULL,5
2/17/20 7:00,DMD,NULL,6
2/17/20 7:00,ECON,NULL,1
2/17/20 7:00,Mathematical Economics,NULL,1
2/17/20 7:00,Political Science,HUM,4
2/17/20 7:00,Commications,NULL,1
2/17/20 7:00,Math,NULL,1
2/17/20 7:00,Nutrition,NULL,2
2/17/20 7:00,Biology,NULL,3
2/17/20 7:00,Finance,NULL,7
2/17/20 7:00,Mechanical Engineering,NULL,1
2/17/20 7:00,Fine Arts,NULL,1
2/17/20 7:00,Marketing,NULL,2
2/17/20 7:00,Econ,NULL,1
2/17/20 7:00,jess ling,NULL,1
2/17/20 7:00,Computer Science,STEM,32
2/17/20 7:00,SSE 2020,NULL,1
2/17/20 7:00,History,NULL,1
2/17/20 7:00,International Studies and Business,NULL,1
2/17/20 7:00,Katie Busch,NULL,1
2/17/20 7:00,biology,NULL,1
2/17/20 7:00,PPE & GSWS,NULL,1
2/17/20 7:00,Brendan Yoo,NULL,1
2/17/20 7:00,BBB,NULL,7
2/17/20 7:00,Finance and Computer Science,NULL,1
2/17/20 7:00,Business Analytics,NULL,5
2/17/20 7:00,Communications,NULL,1
2/17/20 7:00,Cognitive Science,NULL,2
2/17/20 7:00,English,NULL,2
2/17/20 7:00,Bioengineering,NULL,3
2/17/20 7:00,Chemistry,NULL,1
2/17/20 7:00,Chemical and Bioengineering,NULL,1
2/17/20 7:00,Nursing,NULL,2
2/17/20 7:00,Finance 2021,NULL,1
2/17/20 7:00,PPE,NULL,3
2/17/20 7:00,DMD 2021,NULL,1
2/17/20 7:00,Wharton 20222,NULL,1
2/17/20 7:00,Misc,NULL,4
2/17/20 7:00,Urban Studies,NULL,1
2/17/20 7:00,Misc.1,NULL,1
2/17/20 7:00,2022,NULL,1
2/17/20 7:00,OIDD,NULL,2
2/17/20 7:00,Philosophy,NULL,1
2/17/20 8:00,Systems Engineering,NULL,1
2/17/20 8:00,Statisticsistics,NULL,1
2/17/20 8:00,Statistics,NULL,4
2/17/20 8:00,DMD,NULL,6
2/17/20 8:00,ECON,NULL,1
2/17/20 8:00,Political Science,HUM,3
2/17/20 8:00,Commications,NULL,1
2/17/20 8:00,Nutrition,NULL,1
2/17/20 8:00,Math,NULL,1
2/17/20 8:00,Philosophy,NULL,1
2/17/20 8:00,Biology,NULL,3
2/17/20 8:00,Finance,NULL,7
2/17/20 8:00,Mechanical Engineering,NULL,1
2/17/20 8:00,Fine Arts,NULL,1
2/17/20 8:00,Marketing,NULL,2
2/17/20 8:00,Econ,NULL,1
2/17/20 8:00,jess ling,NULL,1
2/17/20 8:00,Computer Science,STEM,29
2/17/20 8:00,SSE 2020,NULL,1
2/17/20 8:00,Finance 2021,NULL,1
2/17/20 8:00,International Studies and Business,NULL,1
2/17/20 8:00,biology,NULL,1
2/17/20 8:00,PPE & GSWS,NULL,1
2/17/20 8:00,Brendan Yoo,NULL,1
2/17/20 8:00,BBB,NULL,5
2/17/20 8:00,Business Analytics,NULL,4
2/17/20 8:00,Communications,NULL,1
2/17/20 8:00,Cognitive Science,NULL,2
2/17/20 8:00,English,NULL,2
2/17/20 8:00,Bioengineering,NULL,3
2/17/20 8:00,Chemistry,NULL,1
2/17/20 8:00,Chemical and Bioengineering,NULL,1
2/17/20 8:00,PPE,NULL,3
2/17/20 8:00,DMD 2021,NULL,1
2/17/20 8:00,Wharton 20222,NULL,1
2/17/20 8:00,Misc,NULL,3
2/17/20 8:00,Urban Studies,NULL,1
2/17/20 8:00,Misc.1,NULL,1
2/17/20 8:00,2022,NULL,1
2/17/20 8:00,OIDD,NULL,2
2/17/20 9:00,Systems Engineering,NULL,1
2/17/20 9:00,Statisticsistics,NULL,1
2/17/20 9:00,Statistics,NULL,3
2/17/20 9:00,DMD,NULL,4
2/17/20 9:00,ECON,NULL,1
2/17/20 9:00,Political Science,HUM,1
2/17/20 9:00,Commications,NULL,1
2/17/20 9:00,Math,NULL,1
2/17/20 9:00,Philosophy,NULL,1
2/17/20 9:00,Biology,NULL,1
2/17/20 9:00,Finance,NULL,5
2/17/20 9:00,Mechanical Engineering,NULL,1
